"ShippingTax", "Taxa de Envio"
"'%s' method not found among installed modules", "'%s' método não encontrado entre os módulos instalados"
"You can add some additional information for our manager", "Você pode adicionar algumas informações adicionais para o nosso gerente"
"Already registered?", "Já está registrado?"
"You can view your order history by going to the %s page", "Você pode visualizar seu histórico de pedidos indo para a página %s"
"Card Number", "Número do Cartão"
"Card Owner's Name", "Nome do Titular do Cartão"
"Checkout as Guest", "Realizar Pedido Como Visitante"
"Checkout as a Guest or Register", "Realizar Pedido como um visitante ou Registrar"
"Credit Card Type", "Tipo Cartão de Crédito"
"Credit Card", "Cartão de Crédito"
"Cvv", "Código de Segurança"
"Easy access to your order history and status", "Fácil acesso a seu histórico de conpras e andamento do pedido"
"Expiration Date", "Data de Validade"
"Fast and easy check out", "Rápido e fácil de realizar pedido"
"Login", "Acessar"
"Login/Register", "Acessar ou Registrar"
"Make Check payable to", "Faça cheque nominal para"
"Only %s item(s) of '%s' are available", "Apenas %s item(s) de '%s' estão disponíveis"
"Paypal IPN Invalid %s.", "Paypal IPN Invalid %s."
"Please login", "Por favor entre"
"Product '%s' is not found in stock. product_id = %s", "Produto '%s' não se encontra em estoque. product_id = %s"
"Product '%s' is out of stock", "Produto '%s'  esgotado"
"Received IPN verification", "Recebendo verificação IPN"
"Register and save time!", "Registre e economize tempo!"
"Register with us for future convenience", "Cadastre-se para fazer futuras compras"
"Register", "Registrar"
"Send Check to", "Enviar Verificação para"
"Thank You! We Appreciate your Business!", "Obrigado! Agradecemos a Preferência!"
"Thank you for shopping. Please click the Log Off link to ensure that your receipt and purchase information is not visible to the next person using this computer.", "Obrigado pelas Compras. Por favor, clique no link Sair para garantir que o seu recibo de compra e informação não seja visível para a próxima pessoa a utilizar este computador."
"Transaction in sale mode", "Modo Transação de venda"
"Your Order Number is", "Seu número de pedido é"
"Add new address", "Adicionar novo endereço"
"Billing Address", "Endereço de Cobrança"
"CC Number", "Número de CC"
"CC Owner", "CC Proprietário"
"CVV Help", "Ajuda Para Código de Segurança?"
"Cart is empty", "Carrinho está vazio"
"Change Address", "Alterar Endereço"
"Change Payment Method", "Alterar Método de Pagamento"
"Checked", "Verificado"
"Checkout Onepage", "Finalizar Pedido"
"Checkout Success", "Pedido Finalizado Com Sucesso"
"Checkout Wizard", "Assistente Para Finalizar Pedido"
"Checkout", "Finalizar Pedido"
"Checkout Process", "Processo Para Finalizar Pedido"
"Confirm your order", "Confirmar seu pedido"
"Create Order", "Criar Pedido"
"Confirmation", "Confirmação"
"Continue shopping", "Continuar comprando"
"Continue", "Continuar"
"Create New Address", "Criar Novo Endereço"
"Create/Edit Address", "Criar/Editar Endereço"
"Delivery Address", "Endereço de Entrega"
"Details", "Detalhes"
"Due errors while checking your shopping cart contents, we made some changes to it. Check it out now", "Erros ao verificar o conteúdo de seu carrinho de compras, fizemos algumas alterações. Confira agora"
"Duplicate entry (must be unique set taxclass, geozone, customer group)", "Duplicar entrada (deve ser exclusivo a classe de imposto, zona geográfica, grupo de clientes)"
"Email", "Email"
"End Price", "Preço Total"
"Error", "Erro"
"Expires Date", "Data de Vencimento"
"Fill all variation options please", "Preencha todas as opções de variação, por favor"
"Final price", "Preço Total"
"Image", "Imagem"
"Incorrect address recieved", "Endereço recebido incorreto"
"Invalid address", "Endereço inválido"
"Invalid modifier value recieved", "Valor modificado recebido inválido"
"My Account Orders", "Meus Pedidos"
"Order created", "Pedido criado"
"Order total amount does not match paypal gross total amount", "Valor do pedido corresponde ao valor bruto total do paypal"
"Password", "Senha"
"Payment Method", "Forma de Pagamento"
"Paypal Account", "Conta Paypal"
"Paypal Express Checkout", "Paypal Express Checkout"
"Pickup", "Pickup"
"Price", "Preço"
"Proceed to Checkout", "Prosseguir Para Finalizar Pedido"
"Product was successfully added to your shopping cart", "Produto foi adicionado com sucesso ao carrinho de Compras"
"Remove item", "Remover item"
"Remove", "Remover"
"Select billing address", "Selecione Endereço de cobrança"
"Select delivery address", "Selecione Endereço de entrega"
"Selected payment method in not allowed", "Forma de pagamento selecionado não permitido"
"Selected shipping method in not allowed", "Forma de entrega selecionado não permitido"
"Set required attribute: %s", "Definir Atributo obrigatório : %s"
"Ship to same address", "Entregar para o mesmo endereço"
"Shipping Method", "Forma de Envio"
"Shopping Cart - %s item(s)", "Carrinho de Compras - %s item(s)"
"Shopping Cart", "Carrinho de Compras"
"Signup", "Registrar"
"Total", "Total"
"Update", "Atualizar"
"Use this address", "Usar este endereço"
"View", "Visualizar"
"We can not accept payment from this billing address.", "Não podemos aceitar o pagamento a partir deste endereço de cobrança."
"We can not deliver the goods at the listed address.", "Não podemos entregar a mercadoria no endereço indicado."
"Your shopping cart is empty", "Seu carrinho Compras está vazio"
"edit", "editar"
"loading...", "Carregando ..."
"%s item(s)", "%s item(s)"
"Subtotal", "Subtotal"
"Shipping", "Envio"
"Tax", "Taxa"
"Shipping Tax", "Taxa de Envio"
"Order Total Modules", "Módulos de Pedido Total"
"Enabled", "Ativado"
"Sort Order", "Ordem de Classificação"
"Quantity", "Quantidade"
"Attributes", "Atributos"
"Product", "Produto"
"Display Mode for Custom Fields","Display Mode for Custom Fields"
"Display Shipping Address","Display Shipping Address"
"Default Values","Default Values"
"Onestep Ajax Requests","Onestep Ajax Requests"
"Reload when Billing Address was Changed","Reload when Billing Address was Changed"
"Reload when Delivery Address was Changed","Reload when Delivery Address was Changed"
"Reload when Shipping Method was Changed","Reload when Shipping Method was Changed"
"Reload when Payment Method was Changed","Reload when Payment Method was Changed"
"You can disable this option if you don't use different payment methods for different addresses","You can disable this option if you don't use different payment methods for different addresses"
"You can disable this option if you don't use different shipping methods or shipping taxes for different addresses","You can disable this option if you don't use different shipping methods or shipping taxes for different addresses"
"You can disable this option if all of your shipping methods have equal pricing, and if you don't have dependency between available payment methods and shipping method","You can disable this option if all of your shipping methods have equal pricing, and if you don't have dependency between available payment methods and shipping method"
"You can disable this option if you don't have dependency between available shipping methods and payment method","You can disable this option if you don't have dependency between available shipping methods and payment method"
"Payment Method is required.","Payment Method is required."
"Shipping Method is required.","Shipping Method is required."
"Use as Delivery Address","Use as Delivery Address"
"Reset","Reset"
"Order review","Order review"
"Place Order","Place Order"
