"Show pages on sitemap page","Mostrar páginas no mapa do site"
"Engines","Motores"
"Not used","Não utilizado"
"Products","Produtos"
"Results","Resultados"
"Site Map All Pages","Mapa do Site Todas Páginas"
"Site Map All Products","Mapa do Site Todos Produtos"
"Site Map Categories","Mapa do Site Categorias"
"Sitemap","Mapa do Site"
"Ask Ping Url","Pergunte Ping Url"
"Enabled","Ativado"
"Frequency","Frequência"
"Google Ping Url","Google Ping Url"
"Msn Ping Url","Msn Ping Url"
"Priority","Prioridade"
"Show pages","Mostrar páginas"
"Start Time","Hora de Início"
"Yahoo Ping Url","Yahoo Ping Url"
"Categories Options","Opções de Categorias"
"CMS Pages Options","Opções de Páginas CMS"
"General","Geral"
"Products Options","Opções de Produtos"
"The priority of this URL relative to other URLs on your site.Valid values range from 0.0 to 1.0","A prioridade dessa URL em relação a outros URLs no seu intervalo de valores site.Valid 0.0 à 1.0"
