"%d rating(s) was deleted successfully","Nota produsului %s a fost ștearsă"
"%d rating(s) was saved successfully","Nota produsului %s a fost salvată"
"%s reviews of %s","%s review-uri din %s"
"%s: Review by %s","%s: Review postat de: %s"
"Rating","Rating"
"Cons","Cons"
"Log in to write a review","Trebuie să vă autentificați pentru a adăuga un review"
"Nickname '%s' is already in use. Choose a different one","Numele %s este deja folosit. Vă rugăm sa alegeți un altul"
"Overall: %s review(s)","În total %s review-uri"
"Pros","Pentru"
"Rating with name '%s' is already exist","Ratingul cu numele %s există deja"
"Read about %s","Citiți despre %s"
"Review not found","Review-ul nu a fost găsit"
"Review(s) %d to %d of %d","Review(s) %d to %d of %d"
"Reviewed on %s by %s","Review lăsat în %s de %s"
"Reviews by %s","Review-uril de %s"
"Summary","Sumar"
"View all reviews for %s","Vezi toate review-urile pentru %s"
"View all reviews written by %s","Vezi toate review-urile scrise de %s"
"View all reviews","Vezi toate review-urile"
"View all user reviews (%d)","Vezi toate review-urile utilizatorului (%d)"
"Write review for %s","Scrieți un review pentru %s"
"Write review","Scrie un review"
"Write your review","Scrieți părerea dumneavoastră"
"Add review for the %s","Adaugă un review pentru %s"
"All reviews","Toate review-urile"
"Average user ratings","Rating mediu"
"Be the first to review this product","Fi primul care lasă un review pentru acest produs"
"Community review ratings","Rating review"
"Community reviews","Review-urile comunității"
"Compare selected","Compară produsul selectat"
"Customer reviews","Review-uri clienți"
"Date","Dată"
"Guest","Vizitator"
"Guests do not have the permission to vote. Review was saved without ratings","Vizitatorii nu au dreptul să voteze. Review-ul a fost salvat fără rating"
"No ratings are available","Nu există rating"
"Not found","Nu a fost găsit"
"Rating name is required","Numele pentru rating este necesar"
"Read review","Citește review"
"Review has been accepted for moderation","Review-ul a fost trimis spre moderare"
"Review was successfully saved","Review-ul a fost salvat cu succes"
"Reviews for the %s","Review-uri pentru %s"
"Reviews written by customer %s","Review-uri scrise de clientul %s"
"Reviews","Review-uri"
"Select to compare","Compară"
"Sort ascending","Sortează crescător"
"Sort descending","Sortează descrescător"
"There are no reviews for this product yet","Nu există niciun review pentru acest produs"
"Users rating","Rating utilizatori"
"You have already voted for this product. Review was saved without ratings","Ați votat deja pentru acest produs. Review-ul a fost salvat fara rating"
"stars","stele"
"Explain to us in detail why you like or dislike the product, focusing your comments on the product's features and functionality, and your experience using the product. This field is optional.","Vă rugăm să ne spuneți ce v-a plăcut și ce nu v-a plăcut la acest produs bazându-vă pe funcționalitatea, caracterisiticile produsului și pe experiența dumneavoastră. Acest câmp este opțional"
"Tell us what you don't like about this product. up to 250 characters","Vă rugăm să ne spuneți ce nu v-a plăcut la acest produs (maxim 250 de caractere)"
"Nickname","Nume"
"One-line summary","Rezumat"
"Tell us what you like about this product. up to 250 characters","Vă rugăm să ne spuneți ce va plăcut la acest produs(maxim 250 de caractere)"
"Your nickname. All users will be able to see it","Numele dumneavoastră va fi vizibil pentru toți utilizatorii"
"Summarize your review in one line. up to 55 characters","Vă rugăm să faceți un rezumat într-o linie al review-ului dumneavoastră (maxim 55 de caractere)"
"Show %s reviews per page","Afișează %s review-uri pe pagină"
"Sort by","Ordonează după"
"View all","Afișează tot"
"%s stars","%s stele"
"Add Review","Adaugă review"
"Product Reviews","Review-uri produs"
"Community","Comunitate"
"Review ratings","Rating review"
"Allow guest to write a reviews","Permite vizitatorilor să lase review-uri"
"Default customer review status","Status implicit pentru review-urile lăsate de clienți"
"Default guest review status","Status implicit pentru review-urile lăsate de vizitatori"
"Default reviews count per page","Număr implicit de review-uri afișate pe pagină"
"Enable ratings","Activează sistem de votare"
"Enabled","Activat"
"Merge average ratings","Realizează media rating-urilor"
"Reviews showed per page","Review-uri afișate pe pagină"
"Show rating title","Afișează titlu rating"
"Default review status written by registered customer","Status implicit pentru review-urile lăsate de clienții înregistrați"
"Default review status written by guest","Status implicit pentru review-urile lăsate de vizitatori"
"Enable rating system in reviews","Activează sistemul de votare în review-uri"
"Show average rating as one","Afișează media rating-urilor ca una singură"
"Show rating titles","Afișează titlurile rating-ului"
