"License agreements", "Лицензионное соглашение"
"Server requirements", "Требования к серверу"
"Localization", "Локализация"
"Store configuration", "Конфигурация магазина"
"Setup admin account", "Настройка акаунта администратора"
"Modules", "Модули"
"All done", "Завершено"
"Server Capabilities", "Возможности сервера"
"PHP Version", "Версия PHP"
">= 5.2", ">= 5.2"
"PHP Settings", "Параметры PHP"
"Off", "Выкл."
"On", "Вкл."
"Magic quotes", "Магические кавычки (magic quotes)"
"File uploads", "Загрузка файлов"
"Session autostart", "Автостарт сессии"
"Session use trans SID", "Сессия использует trans_sid"
"PHP Extensions", "Расширения РНР"
"Loaded", "Загружено"
"Not Loaded", "Не загружено"
"Writable", "Права на запись"
"Not Writable", "Нельза изменить"
"Enabled", "Включено"
"Disabled", "Выключено"
"Can't connect to database. Check server name, username or user password", "Невозможно подключится к базе данных. Проверьте имя сервера, логин или пароль"
"Can't select this database, check database name", "Невозможно выбрать эту базу данных, проверьте имя базы"
"Fill all required fields please", "Пожалуйста, заполните обязательные поля"
"Config file is not writable at %s", "Нет прав на запись файла конфигурации %s"
"Please enable JavaScript in your browser.", "Пожалуйста включите JavaScript в вашем броузере"
"Language", "Язык"
"Copyright &copy; 2010, Axis, Inc. All Rights Reserved", "Copyright &copy; 2010, Axis, Inc. Все права защищены"
"Database connection", "Подключение к базе данных"
"Database Server", "Сервер базы данных"
"The address of the database server in the form of a hostname or IP address", "Адрес сервера базы данных в форме имени хоста или IP адреса"
"Database Name", "Имя базы данных"
"The name of the database to hold the data in", "Имя базы данных для сохранения данных"
"Table prefix", "Префикс таблицы"
"Username", "Имя пользователя"
"The username used to connect to the database server", "Имя пользователя для подключения к базе данных"
"Password", "Пароль"
"The password that is used together with the username to connect to the database server", "Пароль для доступа к базе данных"
"Web access options", "Настройки веб-доступа"
"Base Url", "Базовая ссылка"
"Frontend Url", "Ссылка на магазин"
"Admin Path", "Путь к административной панели"
"Administrative panel path", "Путь к административной панели"
"Use Secure URLs (SSL)", "Использовать защищенные ссылки (SSL)"
"Secure Url", "Защищенная ссылка"
"Site secure url", "Защищенная ссылка сайта"
"Encription Key", "Ключ шифрования"
"Key that will be used to encrypt private data like passwords, usernames, credit cards etc.", "Используется для шифрования паролей, имен пользователей, кредитных карт и т.д."
"Locale", "Локализация"
"Timezone", "Временная зона"
"Currency", "Валюта"
"Standard setup", "Стандартные настройки"
"Advanced setup", "Продвинутые настройки"
"No modules found", "Модули не найдены"
"Email", "Email"
"Firstname", "Имя"
"This name you will need to access to store backend", "Это имя для доступа к административной панели сайта"
"Lastname", "Фамилия"
"License", "Лицензия"
"Requirements", "Требования"
"Server configuration doesn't meet the Axis needs", "Конфигурация сервера не соответствует требованиям Axis"
"Configuration", "Конфигурация"
"Admin User Settings", "Настройки пользователя администратора"
"Installation Mode", "Режим инсталяции"
"Axis was successfully installed", "Axis успешно установлен"
"Title", "Заголовок"
"Expected Value", "Ожидаемое значение"
"Server Value", "Значение на сервере"
"Success", "Успешно"
"Continue", "Продолжить"
"Back", "Назад"
"Refresh", "Обновить"
"Accept and Continue", "Принять и продолжить"
"Default locale settings", "Установки локализации по умолчанию"
"Additional locales", "Дополнительные локализации"
"Add Locale", "Добавить локализацию"
"Add Currency", "Добавить валюту"
"Install", "Установка"
"Hide required", "Спрятать обязательные"
"Hide catalog", "Спрятать каталог"
"Hide payment", "Прятать методы оплаты"
"Hide shipping", "Прятать методы доставки"
"Administrator account", "Учетная запись администратора"
"Report any %s you've found", "Сообщайте о любых %s, которые вы найдете"
"Report", "Сообщить"
"Bugs or Issues", "ошибках или недоработках"
"Installation Process", "Процесс инсталяции"
"Go to %s", "Перейти к %s"
"Frontend", "Сайт"
"Backend", "Административная панель"
"Crypt key", "Ключ шифрования"
"Installing. Please wait...", "Идет инсталяция. Пожалуйста подождите..."
"Your server must have mod_rewrite module loaded to go futher", "Для продолжения на вашем сервере должен быть включен mod_rewrite"
