"'%s' was not found in database","'%s' не знайдено в базі даних"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Створивши обліковий запис в нашому магазині, ви зможете швидше оформити замовлення, зберігати кілька адрес для доставки, переглядати та відслідковувати ваші замовлення а також багато іншого."
"Can't save customer","Не вдається зберегти клієнта"
"If you have an account with us, please log in.","Якщо у Вас вже є обліковий запис у нас, будь-ласка, увійдіть."
"New Customers","Нові клієнти"
"Registered Customers","Для зареєстрованих користувачів"
"Welcome, %s %s","Ласкаво просимо, %s %s"
"Account settings successfully updated","Налаштування облікового запису успішно проведено"
"Account","Обліковий запис"
"Action","Дія"
"Actions","Дії"
"Add Address","Додати адресу"
"Add new address","Додати адресу"
"Saving address","Збереження адреси"
"Added on","Додано"
"Address Book","Адресна книга"
"Address","Адреса"
"Attributes","Атрибути"
"Auth","Авторизація"
"Billing Address","Адреса оплати"
"Change Info","Змінити дані"
"Change account info","Змінити облікові дані"
"Change password","Змінити пароль"
"City","Місто"
"Comment","Коментар"
"Company","Компанія"
"Confirm new password","Підтвердіть новий пароль"
"Copy To Cart","Копіювати до кошика"
"Country","Країна"
"Create an Account","Створити акаунт"
"Created Date","Дата створення"
"Customer Group","Група користувачів"
"Search history","Історія пошуків"
"Custom Customer Fields","Додаткові поля"
"Default Billing Address","Адреса оплати по замовчуванню"
"Default Shipping Address","Адреса доставки по замовчуванню"
"Default billing","Адреса оплати"
"Default shipping","Адреса доставки"
"Delete address?","Видалити адресу?"
"Delete","Видалити"
"Delivery Address","Адреса доставки"
"Edit Customer","Редагувати користувача"
"Edit address","Редагувати адресу"
"Edit","Редагувати"
"Email","Електронна пошта"
"Final price","Остаточна ціна"
"Firstname","Ім'я"
"Forgot Your Password?","Забули пароль?"
"Forgot password","Забув пароль"
"Forgot","Забув"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information.","На сторінці користувача Ви можете подивитись свої останні дії та змінити особисті дані."
"Group was saved successfully","Група була успішно збережена"
"Hello, %s","Привіт, %s"
"Id","№"
"Information","Інформація"
"Items Ordered","Товарів замовлено"
"Lastname","Прізвище"
"Log in or create an account","Увійдіть або створіть новий обліковий запис"
"Login","Увійти"
"Logout","Вийти"
"Manage Customer Groups","Управління групами користувачів"
"Manage Customers","Управління користувачами"
"Modified Date","Дата модифікації"
"Move To Cart","Перемістити до кошику"
"My Account","Мій аккаунт"
"My Orders","Мої замовлення"
"My Tags","Мої таги"
"My Wishlist","Мій список бажань"
"Name","Ім'я"
"New password","Новий пораль"
"Newletter","Підписка"
"No primary address found","Не знайдено головної адреси"
"Password confirmation does not match","Підтвердження пароля не коректне"
"Password is the required field","Пароль є обов'язковим полем"
"Password","Пароль"
"Payment Method","Спосіб оплати"
"Personal Information","Персональна інформація"
"Price","Ціна"
"Primary Billing Address","Головна адреса оплати"
"Primary Delivery Address","Головна адреса доставки"
"Print","Друк"
"Product","Продукт"
"Quantity","Кілкість"
"Recieved hash is corrupted.","Надійшов пошкоджений кеш"
"Remove","Видалити"
"Reorder","Замовити знову"
"Retrieve Forgotten Password","Запросити забутий пароль"
"SKU","Складський номер"
"Search","Пошук"
"Selected product is already in your wishlist","Обраний продукт уже є у списку бажаного"
"Set us primary billing address","Встановити як адреса оплати по замовчуванню"
"Set us primary shipping address","Встановити як адреса доставки по замовчуванню"
"Shipping Method","Спосіб Доставки"
"Sign In / Create Account","Увійти / Створити акаунт"
"Signup","Вийти"
"Site Name","Назва сайту"
"Sorry but we were not able to contact you via email address provided.","Вибачте але ми були не у змозі зв'язатися з вами по наданій електронній адресі"
"State/Province","Штат/Область"
"Status","Статус"
"Street Address","Вулиця"
"Submit","Відправити"
"Subtotal","Разом"
"Total","Всього"
"Update","Оновити"
"View All","Переглянути Всі"
"View Order","Переглянути Замовлення"
"View","Переглянути"
"Wishlist","Список бажань"
"Zip/Postcode","Поштовий індекс"
"My Addresses","Мої адреси"
"Active","Активний"
"Confirm Password","Підтвердіть пароль"
"Contact information","Контактна інформація"
"Current password","Поточний пароль"
"Email address","Електронна пошта"
"Email will be used to login into your account","Адреса електронної пошти використовуватиметься для входу в обліковий запис"
"General information","Загальна інформація"
"Register","Зареєструватись"
"Site","Сайт"
"Street","Вулиця"
"Telephone","Телефон"
"Use as my default billing address","Використовувати як адресу оплати за замовчуванням"
"Use as my default shipping address","Використовувати як адресу доставки за замовчуванням"
"Your email. No one will see it","Адреса електронної пошти. Ніхто не побачить її"
"Your name. All users will be able to see it","Ваше ім'я. Усі користувачі зможуть бачити його"
"No addresses found","Адрес не знайдено"
"Username or password is incorrect","Імя користувача або пароль є невірним"
"Address not found","Адресу не знайдено"
"Fax","Факс"
"Save","Зберегти"
"Customer View","Огляд користувача"
"Account Information","Облікова інформація"
"Addresses","Адреси"
"Delete group","Видалити групу"
"Create group","Створити групу"
"Invalid address data. Try again.","Ви передали некоретні дані. Спробуйте ще раз."
"Customers","Користувачі"
"Customer Groups","Групи користувачів"
"Customer Info Fields","Інформаційні поля користувача"
"Value sets","Набори значень"
"Default Customer Group","Група користувача по-замовчуванню"
"Group title","Назва групи"
"General","Загальне"
"Default Customer Group (default:'General')","Група користувача по-замовчуванню (по-замовчуванню:'General')"
"Customer '%s' not found","Користувача '%s' не знайдено"
"Your account is not active. Please contact site administrator for more details","Ваш профіль неактивований. Зв'яжіться із адміністратором сайту для вирішення проблеми"
"New Account Created","Зареєстрований новий користувач"
