"Products associated with tag '%s'","Продукти прикріплені до тагу '%s'"
"Tag '%s' was successfully added to product","Таг '%s' додано до продукту"
"Your tag '%s' is already added to this product","Таг '%s' уже додано до продукту"
"Add Tags","Додати Таги"
"Add multiple tags separated by commas","Додати кілька тегів, розділених комами"
"Customer tags","Таги користувача"
"No tags found","Тагів не знайдено"
"Remove item","Видалити запис"
"Tags","Таги"
"There are no products matching your request","Немає товарів, що відповідають цьому запиту"
"Remove tag from this product","Видалити таг із продукта"
"My Tags","My Tags"
"Product Tags","Таги продуктів"
"Tag","Таг"
"Default customer tag status","Статус тагів доданих зареєстрованим користувачем по-замовчуванню"
"Default guest tag status","Статус тагів доданих гостем по-замовчуванню"
"General","Загальне"
"Default tag status added by registered customer","Статус тагів доданих зареєстрованим користувачем"
"Default tag status added by guest","Статус тагів доданих гостем"
